link,nome_anuncio,desc,orig_preco,preco,categoria,modelo,marca,tipo_carro,ano,quilometragem,cilindrada,combustivel,gnv,cambio,cor,portas,fim_placa,direcao,airbag,alarme,ar_condicionado,trava_eletrica,vidro_eletrico,som,sensor_re,camera_re,blindado,estado
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/celta-lt-2012-2012-1245118633,Celta LT 2012/2012,"Celta LT 2012 , 1.0 , álcool e gasolina, 4 portas , ar condicionado ,vidro elétrico . Aceito proposta (869... ver número) whatsapp.",,R$ 30.000,"Carros, vans e utilitários",CHEVROLET CELTA SUPER 1.0 MPFI 8V FLEXPOWER 5P,CHEVROLET,,2012,140000,1.0,0.0,0.0,0.0,3.0,1.0,4,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/sandero-expression-1-6-8-v-2016-promocao-1245089156,Sandero Expression 1.6 8 v 2016 Promoção !,04 Pneus novos  Bateria nova / Agosto 2023 87 MIL KM rodados Prata Revisado Óleo trocado Alinhado e Balanceado Correias Trocadas  Kit de embreagem novo,R$ 39.900,R$ 38.500,"Carros, vans e utilitários",RENAULT SANDERO EXPRESSION HI-FLEX 1.6 8V 5P,RENAULT,4.0,2016,87400,1.6,2.0,0.0,0.0,2.0,1.0,,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/saveiro-2011-cabine-estendida-1244980118,Saveiro 2011 cabine estendida,"Vendo completa de tudo funcionando tudo , nada pra fazer quitada no ponto de transferência, 1,6 cabine estendida , fone 9948... ver número , entrar em contato somente interessados fone 9948... ver número",R$ 42.000,R$ 39.000,"Carros, vans e utilitários",VOLKSWAGEN SAVEIRO 1.6 MI TOTAL FLEX 8V CE,VOLKSWAGEN,9.0,2011,128000,1.6,2.0,0.0,0.0,2.0,0.0,5,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/vendo-hb20s-unico-dono-1244972630,VENDO HB20S ÚNICO DONO,HB20S comfort style 1.0 modelo 2014. Completo único dono.,,R$ 39.000,"Carros, vans e utilitários",HYUNDAI HB20S C.PLUS/C.STYLE1.0 FLEX 12V MEC. 4P,HYUNDAI,7.0,2014,146000,1.0,2.0,0.0,0.0,1.0,1.0,9,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/gol-g5-2009-1244965485,Gol G5 2009,Vendo Gol G5 2009 Completo Em dias No ponto de transferência  Interessados tratar no chat,,R$ 30.000,"Carros, vans e utilitários",VOLKSWAGEN GOL 1.6 MI POWER TOTAL FLEX 8V 4P,VOLKSWAGEN,4.0,2009,130000,1.6,2.0,0.0,1.0,4.0,1.0,9,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-picos-e-floriano/autos-e-pecas/carros-vans-e-utilitarios/ecosport-freestyle-1244951663,Ecosport Freestyle,"Vendo Ecosport Freestyle ano 2012. Carro se encontra em Uruçui Piauí. IPVA 2023 pago no ponto de transferência Placa Mercosul. 4 Pneus novos.  Suspensão nova. Carro completo de tudo. Alarme, trava, vidros elétricos nas quatros portas, retrovisor elétricos, câmeras de ré, sensor de estacionamento, direção hidráulica, som original com controle no volante, ar condicionado. Sou o segundo dono deste carro. Manual e chave reserva.  OBS: TROCO EM STRADA CABONE DUPLA APARTIR DO ANO 2014 ( PAGO A DIFERENÇA)",R$ 37.500,R$ 37.000,"Carros, vans e utilitários",FORD ECOSPORT XLT FREESTYLE 1.6 FLEX 8V 5P,FORD,8.0,2012,78700,1.6,2.0,0.0,0.0,2.0,1.0,5,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/etios-xs-1-3-ano-2013-2013-completo-1237843286,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,pi,
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/nissan-versa-1244837440,Nissan versa,Nissan versa 1.6 completo 31 mil  Quitado no ponto de transferir,,R$ 31.000,"Carros, vans e utilitários",NISSAN VERSA S 1.6 16V FLEX FUEL 4P MEC.,NISSAN,7.0,2013,146000,1.6,2.0,0.0,0.0,2.0,1.0,6,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/automovel-1244826828,Automóvel,Corsa classic LS cor preto ano 2016 flex 122 mil km,,R$ 34.900,"Carros, vans e utilitários",CHEVROLET CLASSIC LIFE/LS 1.0 VHC FLEXP. 4P,CHEVROLET,7.0,2016,122000,1.0,2.0,0.0,0.0,0.0,1.0,3,0.0,0,0,0,0,0,0,0,0,0,pi
https://pi.olx.com.br/regiao-de-teresina-e-parnaiba/autos-e-pecas/carros-vans-e-utilitarios/grand-siena-1-4-8v-1244796941,Grand Siena 1.4 8v,"Vendo grand Siena 1.4 motor fire Carro hiper conservado  com apenas 71 mil km rodados  não tem nada pra fazer, carro lacrado nunca batido  Possui chave reserva e manual Veículo está na família desde zero  Bem econômico Pneus colocado a menos de dois messes  Mecânica e dia  Dou três messes de garantia motor e câmbio",,R$ 39.000,"Carros, vans e utilitários",FIAT GRAND SIENA ATTRAC. 1.4 EVO F.FLEX 8V,FIAT,7.0,2014,71000,1.4,2.0,0.0,0.0,0.0,1.0,4,0.0,0,0,0,0,0,0,0,0,0,pi
